EJE,PONDERADOR EJE,NOMBRE DE SECTOR,SECTOR MGA,PROGRAMA MGA,"COD,.INT. PROGRAMA",PROGRAMA PDT,PONDERADOR PROGRAMA,COD SUBPROGRAMA,"COD. INT, SUBPROGRAMA",SUBPROGRAMA,PONDERADOR SUBPROGRAMA,COD. INT. MR,META DE RESULTADO,INDICADOR DE RESULTADO,L.B,PRODUCTO MGA,BPIN,NOMBRE DEL PROYECTO,COD META PRODUCTO,PONDERADOR META DE PRODUCTO,META DE PRODUCTO,L.B,UNIDAD DE MEDIDA,TENDENCIA  INDICADOR,INDICADOR,RESPONSABLE, ,VALOR ESPERADO CUATRIENIO,% TOTAL  EJEJCUTADO 2024 VS CUATRIENIO,% TOTAL EJECUTADO 2025 VS CUATRIENIO,% TOTAL EJECUTADO 2026 VS CUATRIENIO,% TOTAL EJECUTADO 2027 VS CUATRIENIO,PORCENTAJE TOTAL PDM AVANCE CUATRIENIO,VALOR ESPERADO 2024,VALOR ESPERADO 2025,VALOR ESPERADO 2026,VALOR ESPERADO 2027,T1. PLANEADO 2024,T1. EJECUTADO 2024,T2. PLANEADO 2024,T2. EJECUTADO 2024,T3. PLANEADO 2024,T3. EJECUTADO 2024,T4. PLANEADO 2024,T.4 EJECUTADO 2024,TOTAL PLANEADO 2024,TOTAL EJECUTADO 2024,AVANCE 2024,% TOTAL PLANEADO 2024,% TOTAL AVANCE 2024,ESTADO PROGRAMADO-NO PROGRAMADO 2024, SOPORTES DE CUMPLIMIENTO 2024,T1. PLANEADO 2025,T1. EJECUTADO 2025,T2. PLANEADO 2025,T2. EJECUTADO 2025,T3. PLANEADO 2025,T3. EJECUTADO 2025,T4. PLANEADO 2025,T.4 EJECUTADO 2025,TOTAL PLANEADO 2025,TOTAL EJECUTADO 2025,AVANCE 2025,% TOTAL PLANEADO 2025,% TOTAL AVANCE 2025,ESTADO PROGRAMADO-NO PROGRAMADO 2025, SOPORTES DE CUMPLIMIENTO 2025,T1. PLANEADO 2026,T1. EJECUTADO 2026,T2. PLANEADO 2026,T2. EJECUTADO 2026,T3. PLANEADO 2026,T3. EJECUTADO 2026,T4. PLANEADO 2026,T.4 EJECUTADO 2026,TOTAL PLANEADO 2026,TOTAL EJECUTADO 2026,% AVANCE 2026,% TOTAL PLANEADO 2026,% TOTAL AVANCE 2026,ESTADO PROGRAMADO-NO PROGRAMADO, SOPORTES DE CUMPLIMIENTO 2025,T1. PLANEADO 2027,T1. EJECUTADO 2027,T2. PLANEADO 2027,T2. EJECUTADO 2027,T3. PLANEADO 2027,T3. EJECUTADO 2027,T4. PLANEADO 2027,T.4 EJECUTADO 2024,TOTAL PLANEADO 2027,TOTAL EJECUTADO 2027,% AVANCE 2027,% TOTAL PLANEADO 2025,% TOTAL AVANCE 2025,ESTADO PROGRAMADO-NO PROGRAMADO, SOPORTES DE CUMPLIMIENTO 2025,PPTO DEFINITIVO INICIAL,VALOR EJECUTADO,SALDO DISPONIBLE,PROCENTAJE EJECUCIÓN PPTO,Recursos Propios,Ssistema General de Participaciones,Sistema General de Regalias,Cofinanciación,Crédito,Otros,APROPIACION DEFINITIVA 2025,COMPROMISOS 2025,APROPIACION 2024,COMPROMISOS 2024,TOTAL ASIGNADO,TOTAL COMPROMISOS,% EJECUCIÓN FINANCIERA,APROPIACION INICIAL 2025,APROPIACION DEFINITIVA 2025,COMPROMISOS 2025,PAGOS 2025,% EJECUCION 2025,2024 PLAN FINANCIERO PDM,2025 PLAN FINANCIERO PDM,2026 PLAN FINANCIERO PDM,2027 PLAN FINANCIERO PDM,TOTALES PLAN FINANCIERO PDM,PLAN DE ACCIÓN,APROPIACION INICIAL 2026,APROPIACION DEFINITIVA 2026,COMPROMISOS 2026,PAGOS 2026,% EJECUCION 2026,VALOR EJECUTADO 2026,SALDO DISPONIBLE 2026,PROCENTAJE EJECUCIÓN PPTO,Recursos Propios,Ssistema General de Participaciones,Sistema General de Regalias,Cofinanciación,Crédito,Otros
"Eje 1. Ambiente, Conectividad y Ordenamiento y servicios públicos",23.50%,,32,3204,1,"Programa Integral de Sostenibilidad y Educación Ambiental (PISEA) 

(Gestión Intergal del recurso hídrico)
",,0900,1.1,CUSOR- Conservación y Uso Sostenible de los Recursos Hídricos,,1.1.1,"Implementar al 100% las acciones integrales para la protección de áreas de interés hídrico, caracterización y conservación del recurso hídrico y  la ejecución de políticas efectivas para la gestión del cambio climático

","Porcentaje de acciones integrales para la protección de áreas de interés hídrico, caracterización y conservación del recurso hídrico implementadas",0,3204001,2024257990001,"Implementación de la educacion, sensibilizacion ambiental y Uso Sostenible de los Recursos Hídricos en el Municipio de Tenjo Cundinamarca",1,,"Dar cumplimiento a las estrategias enmarcadas en el art. 111 de la Ley 99 de 1993 ""Adquisición o mantenimiento de áreas de interés para acueductos municipales, distritales y regionales""","2 Estrategias (Reforestación y manteniniento)
880 has DMI
308 Has de propiedad del municipio ",Número,I,Actividades desarrolladas,Secretaría de Desarrollo Económico y Medio Ambiente o quien haga sus veces,,4,25%,15%,,,9.0%,1,1,1,1,,,,,0.7,0.7,0.3,0.3,1.00,1.00,1.00,100%,100%,P, META 1,0.15,0.15,0.35,0.35,0.35,0.1,0.15,0,1.00,0.60,0.60,100%,60%,P,Meta 1.docx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,404,125,267.00","$205,200,000.00","$52,700,000.00","$52,700,000.00","$3,456,825,267.00","$257,900,000.00",7%,"$924,152,848.00","$3,404,125,267.00","$1,405,200,000.00","$167,760,000.00",41.28%,"$913,789,867.00",95034156500%,"993,344,662","1,035,710,435","3,893,186,529",,,,,,,,,,,,,,,
"Eje 1. Ambiente, Conectividad y Ordenamiento y servicios públicos",23.50%,,32,3204,1,"Programa Integral de Sostenibilidad y Educación Ambiental (PISEA) 

(Gestión Intergal del recurso hídrico)
",,0900,1.1,CUSOR- Conservación y Uso Sostenible de los Recursos Hídricos,,1.1.1,"Implementar al 100% las acciones integrales para la protección de áreas de interés hídrico, caracterización y conservación del recurso hídrico y  la ejecución de políticas efectivas para la gestión del cambio climático

","Porcentaje de acciones integrales para la protección de áreas de interés hídrico, caracterización y conservación del recurso hídrico implementadas",0,3204002,2024257990001,"Implementación de la educacion, sensibilizacion ambiental y Uso Sostenible de los Recursos Hídricos en el Municipio de Tenjo Cundinamarca",2,,Implementar 1 estrategia para la caracterización y conservación del recurso hídrico del municipio en el marco del POMCA del Río Bogotá y de la Sentencia del Río Bogotá,0,Número,I,Número de actividades realizadas  ,Secretaría de Desarrollo Económico y Medio Ambiente o quien haga sus veces,,4,25%,22%,,,11.3%,1,1,1,1,,,,,0.65,0.65,0.35,0.34,1.00,0.99,0.99,100%,99%,P,META 2 ,0.15,0.15,0.35,0.35,0.35,0.35,0.15,0.02,1.00,0.87,0.87,100%,87%,P,Meta 2.docx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$419,330,408.00","$151,546,432.00","$91,418,093.00","$91,418,093.00","$510,748,501.00","$242,964,525.00",48%,"$315,064,557.00","$419,330,408.00","$198,752,519.00","$162,895,565.00",47.40%,"$210,000,000.00",21420000000%,"218,484,000","225,038,520","867,722,520",,,,,,,,,,,,,,,
"Eje 1. Ambiente, Conectividad y Ordenamiento y servicios públicos",23.50%,,32,3204,1,"Programa Integral de Sostenibilidad y Educación Ambiental (PISEA) 

(Gestión Intergal del recurso hídrico)
",,0900,1.1,CUSOR- Conservación y Uso Sostenible de los Recursos Hídricos,,1.1.1,"Implementar al 100% las acciones integrales para la protección de áreas de interés hídrico, caracterización y conservación del recurso hídrico y  la ejecución de políticas efectivas para la gestión del cambio climático

","Porcentaje de acciones integrales para la protección de áreas de interés hídrico, caracterización y conservación del recurso hídrico implementadas",0,3204006,2024257990001,"Implementación de la educacion, sensibilizacion ambiental y Uso Sostenible de los Recursos Hídricos en el Municipio de Tenjo Cundinamarca",3,,Implementar 4 líneas estratégicas de la política pública  de gestión  integral del cambio climático departamental (ORDENANZA No. 0112/2023),0,Número,I,4 líneas estratégicas implementadas ,Secretaría de Desarrollo Económico y Medio Ambiente o quien haga sus veces,,4,25%,16%,,,9.3%,1,1,1,1,,,,,0.2,0.2,0.8,0.8,1.00,1.00,1.00,100%,100%,P,META 3,0.15,0,0.1,0.1,0.35,0.35,0.35,0.15,0.95,0.60,0.63,100%,63%,P,Meta 3.docx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$234,094,874.00",$0.00,"$183,385,555.00","$183,385,555.00","$417,480,429.00","$183,385,555.00",44%,"$130,000,000.00","$234,094,874.00",$0.00,$0.00,0.00%,"$159,000,000.00",16218000000%,"165,423,600","170,386,308","656,989,908",,,,,,,,,,,,,,,
"Eje 1. Ambiente, Conectividad y Ordenamiento y servicios públicos",23.50%,,32,3204,1,"Programa Integral de Sostenibilidad y Educación Ambiental (PISEA) 

(Gestión Intergal del recurso hídrico)
",,0900,1.2,Es el Tiempo de la Educación y Sensibilización Ambiental,,1.1.2," Implementar en 25% la Política Pública de Educación Ambiental, actualizando y ejecutando completamente el Plan Institucional de Gestión Ambiental (PIGA), y fomentando la participación de la comunidad en la preservación y valoración de los recursos naturales a través de programas educativos",Porcentaje de política de Educación Ambiental implementado,0,3204001,2024257990001,"Implementación de la educacion, sensibilizacion ambiental y Uso Sostenible de los Recursos Hídricos en el Municipio de Tenjo Cundinamarca",4,,Formular e implementar al 25% la Política Pública de Educación Ambiental ,0,Porcentaje,I,1 política Pública formulada e implementada al 25%,Secretaría de Desarrollo Económico y Medio Ambiente o quien haga sus veces,,25%,20%,368%,,,131.8%,4%,8%,10%,3%,,,,,4%,4%,4%,1%,8%,5%,63%,100%,63%,P,META 4 ,5%,5%,10%,10%,5%,5%,5%,3%,25%,23%,92%,100%,92%,P,Meta 4.docx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$100,000,000.00",$0.00,$0.00,$0.00,"$100,000,000.00",$0.00,0%,"$60,000,000.00","$100,000,000.00","$60,000,000.00","$36,333,332.00",60.00%,"$45,000,000.00",4590000000%,"46,818,000","48,222,540","185,940,540",,,,,,,,,,,,,,,
"Eje 1. Ambiente, Conectividad y Ordenamiento y servicios públicos",23.50%,,32,3204,1,"Programa Integral de Sostenibilidad y Educación Ambiental (PISEA) 

(Gestión Intergal del recurso hídrico)
",,0900,1.2,Es el Tiempo de la Educación y Sensibilización Ambiental,,1.1.2," Implementar en 25% la Política Pública de Educación Ambiental, actualizando y ejecutando completamente el Plan Institucional de Gestión Ambiental (PIGA), y fomentando la participación de la comunidad en la preservación y valoración de los recursos naturales a través de programas educativos",Porcentaje de política de Educación Ambiental implementado,0,3204001,2024257990001,"Implementación de la educacion, sensibilizacion ambiental y Uso Sostenible de los Recursos Hídricos en el Municipio de Tenjo Cundinamarca",5,,Actualizar e implementar el Plan Institucional de Gestión Ambiental PIGA,1,Número,M,1 plan actualizado e implementado,Secretaría de Desarrollo Económico y Medio Ambiente o quien haga sus veces,,1,100%,100%,,,50.0%,0.10,0.40,0.40,0.10,,,,,0.7,0.7,0.3,0.3,1.00,1.00,1.00,100%,100%,P,META 5 ,0.1,0.1,0.1,0.1,0.2,0.2,0,0,0.40,0.40,1.00,100%,100%,P,Meta 5.docx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$39,048,521.00","$34,240,000.00","$11,778,450.00","$11,778,450.00","$50,826,971.00","$46,018,450.00",91%,"$35,826,971.00","$39,048,521.00","$34,240,000.00","$28,053,333.00",87.69%,"$60,000,000.00",6120000000%,"62,424,000","64,296,720","247,920,720",,,,,,,,,,,,,,,
"Eje 1. Ambiente, Conectividad y Ordenamiento y servicios públicos",23.50%,,32,3204,1,"Programa Integral de Sostenibilidad y Educación Ambiental (PISEA) 

(Gestión Intergal del recurso hídrico)
",,0900,1.2,Es el Tiempo de la Educación y Sensibilización Ambiental,,1.1.2," Implementar en 25% la Política Pública de Educación Ambiental, actualizando y ejecutando completamente el Plan Institucional de Gestión Ambiental (PIGA), y fomentando la participación de la comunidad en la preservación y valoración de los recursos naturales a través de programas educativos",Porcentaje de política de Educación Ambiental implementado,0,3204049,2024257990001,"Implementación de la educacion, sensibilizacion ambiental y Uso Sostenible de los Recursos Hídricos en el Municipio de Tenjo Cundinamarca",6,,"Ejecutar un modelo de sensibilización de potencialidades ambientales  involucrando la comunidad educativa, grupos ambientalistas, JAC y comunidad en general",0,Número,I,Modelo ejecutado,Secretaría de Desarrollo Económico y Medio Ambiente o quien haga sus veces,,1,100%,68%,,,38.6%,0.10,0.40,0.40,0.10,,,,,0.5,0.5,0.5,0.5,1.00,1.00,1.00,100%,100%,P,META 6,0.1,0.1,0.1,0.05,0.1,0.02,0.1,0.1,0.40,0.27,0.68,100%,68%,P,Meta 6.docx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$55,308,000.00","$38,633,333.00","$209,500,000.00","$209,500,000.00","$264,808,000.00","$248,133,333.00",94%,"$55,308,000.00","$49,633,333.00","$49,633,333.00","$8,233,333.00",100.00%,"$67,000,000.00",6834000000%,"69,706,800","71,798,004","276,844,804",,,,,,,,,,,,,,,
"Eje 1. Ambiente, Conectividad y Ordenamiento y servicios públicos",23.50%,,32,3204,1,"Programa Integral de Sostenibilidad y Educación Ambiental (PISEA) 

(Gestión Intergal del recurso hídrico)
",,0900,1.2,Es el Tiempo de la Educación y Sensibilización Ambiental,,1.1.2," Implementar en 25% la Política Pública de Educación Ambiental, actualizando y ejecutando completamente el Plan Institucional de Gestión Ambiental (PIGA), y fomentando la participación de la comunidad en la preservación y valoración de los recursos naturales a través de programas educativos",Porcentaje de política de Educación Ambiental implementado,0,3204056,2024257990001,"Implementación de la educacion, sensibilizacion ambiental y Uso Sostenible de los Recursos Hídricos en el Municipio de Tenjo Cundinamarca",7,,Ejecutar al 100% los PROCEDAS ,1,Porcentaje,M,Porcentaje PROCEDAS ejecutado,Secretaría de Desarrollo Económico y Medio Ambiente o quien haga sus veces,SI,100%,44%,100%,,,41.6%,100%,100%,100%,100%,,,,,75%,75%,25%,12.50%,50%,44%,88%,100%,88%,P,META 7 ,15%,15%,30%,30%,30%,30%,25%,25%,100%,100%,100%,100%,100%,P,Meta 7.docx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$81,500,000.00","$30,000,000.00","$10,000,000.00","$10,000,000.00","$91,500,000.00","$40,000,000.00",44%,"$60,000,000.00","$81,500,000.00","$80,019,808.00","$24,200,000.00",98.18%,"$30,000,000.00",3060000000%,"31,212,000","32,148,360","123,960,360",,,,,,,,,,,,,,,
"Eje 1. Ambiente, Conectividad y Ordenamiento y servicios públicos",23.50%,,40,4002,2,"Programa Integral de Transformación Urbana (PINTU)

(Ordenamiento territorial y desarrollo urbano)",,1400,2.1,Es el tiempo de la legalización y saneamiento urbanístico ,,2.1.1,"Asegurar al 100% la eficacia en la gestión y regulación de propiedades para el uso público en el municipio, logrando la legalización y saneamiento para infraestructura y equipamiento público",Porcentaje de eficacia en la gestión y regulación de propiedades para el uso público en el municipio asegurado,0,4002016,2024257990002,Fortalecimiento integral del programa de transformacion Urbana en el Municipio de Tenjo Cundinamarca,8,,Realizar en mínimo 10 predios de interés el proceso de formalización y saneamiento,0,Número,I,Número de predios de interés con proceso de formalización y saneamiento ,Sec. de Planeación y Desarrollo Territorial ,,10,20%,10%,,,6.5%,2,6,2,0,,,,,1,1,1,1,2.00,2.00,1.00,100%,100%,P,Meta 8.docx,2,2,4,4,0,0,0,0,6.00,6.00,1.00,100%,100%,P,Meta 8.docx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$95,000,000.00","$60,000,000.00","$21,000,000.00","$21,000,000.00","$116,000,000.00","$81,000,000.00",70%,"$60,000,000.00","$70,000,000.00","$70,000,000.00","$61,800,000.00",100.00%,"$70,000,000.00",7140000000%,"72,828,000","75,012,840","289,240,840",,,,,,,,,,,,,,,
"Eje 1. Ambiente, Conectividad y Ordenamiento y servicios públicos",23.50%,,40,4002,2,"Programa Integral de Transformación Urbana (PINTU)

(Ordenamiento territorial y desarrollo urbano)",,1400,2.1,Es el tiempo de la legalización y saneamiento urbanístico ,,2.1.1,"Asegurar al 100% la eficacia en la gestión y regulación de propiedades para el uso público en el municipio, logrando la legalización y saneamiento para infraestructura y equipamiento público",Porcentaje de eficacia en la gestión y regulación de propiedades para el uso público en el municipio asegurado,0,4002040,2024257990002,Fortalecimiento integral del programa de transformacion Urbana en el Municipio de Tenjo Cundinamarca,9,,Realizar la titulación del  80% de bienes destinados al uso público en actuaciones urbanísticas a favor del municipio,10%,Porcentaje,I,Porcentaje de funcionamiento del Banco Inmobiliario ,Sec.  de Urbanismo,,80%,44%,125%,,,50.3%,10%,20%,30%,20%,,,,,7%,7%,28%,28%,35%,35%,100%,100%,100%,P,META 09.docx,5%,5%,5%,5%,5%,5%,5%,5%,20%,20%,100%,100%,100%,P,Meta 9.docx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$60,000,000.00","$58,773,333.00","$29,500,000.00","$29,500,000.00","$89,500,000.00","$88,273,333.00",99%,"$60,000,000.00","$60,000,000.00","$58,773,333.00","$50,607,040.00",97.96%,"$90,000,000.00",9180000000%,"93,636,000","96,445,080","371,881,080",,,,,,,,,,,,,,,
"Eje 1. Ambiente, Conectividad y Ordenamiento y servicios públicos",23.50%,,40,4002,2,"Programa Integral de Transformación Urbana (PINTU)

(Ordenamiento territorial y desarrollo urbano)",,1400,2.1,Es el tiempo de la legalización y saneamiento urbanístico ,,2.1.1,"Asegurar al 100% la eficacia en la gestión y regulación de propiedades para el uso público en el municipio, logrando la legalización y saneamiento para infraestructura y equipamiento público",Porcentaje de eficacia en la gestión y regulación de propiedades para el uso público en el municipio asegurado,0,4002042,2024257990002,Fortalecimiento integral del programa de transformacion Urbana en el Municipio de Tenjo Cundinamarca,10,,"Ejecutar al 100 % un proceso con la empresa inmobiliaria de Cundinamarca para la compra y adquisición de predios para uso institucional, dotacional, espacio público, cultural y otros.",100%,Porcentaje,M,Porcentaje del proceso de compra de predios ejecutados,Sec.  de Urbanismo,,100%,100%,100%,,,50.0%,100%,0.00,100%,0.00,,,,,100%,100%,0%,0,100%,100%,100%,100%,100%,P,META 10.docx,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,P,Meta 10.docx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$40,000,000.00",$0.00,$0.00,$0.00,"$40,000,000.00",$0.00,0%,$0.00,"$40,000,000.00","$40,000,000.00",$0.00,100.00%,"$40,000,000.00",4080000000%,"41,616,000","42,864,480","165,280,480",,,,,,,,,,,,,,,
